City,Temperature (f),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Derzhavīnsk,86.11,51.1,66.32,31,0,9.22
Hithadhoo,85.28,-0.6,73.08,65,55,4.41
Longyearbyen,44.6,78.22,15.64,75,75,8.05
Vaini,69.8,-21.2,-175.2,83,40,10.29
Port Elizabeth,50.0,-33.92,25.57,66,40,20.8
Derby,57.72,52.92,-1.48,71,20,11.41
Haines Junction,46.54,60.75,-137.51,77,89,2.93
Saint Paul Harbor,55.4,57.79,-152.41,76,90,4.7
Geraldton,64.4,-28.77,114.6,59,90,10.29
Mahébourg,77.0,-20.41,57.7,69,40,8.05
Tilichiki,50.2,60.47,166.1,94,100,8.43
Severo-Kuril'sk,51.37,50.68,156.12,89,80,8.08
Waddān,80.01,29.16,16.14,46,0,2.13
Nanortalik,42.31,60.14,-45.24,95,100,5.66
George Town,87.4,5.41,100.34,74,20,5.82
Vaitape,79.81,-16.52,-151.75,81,2,13.91
Qui Nhon,88.32,13.77,109.23,62,82,9.46
Lumby,52.45,50.25,-118.97,76,40,3.36
Sémbé,74.34,1.65,14.58,81,100,4.83
Mēga,65.52,4.05,38.3,66,79,19.13
Ilulissat,42.8,69.22,-51.1,87,100,8.05
Cidreira,46.2,-30.18,-50.21,63,0,15.1
Somerset East,42.87,-32.72,25.59,64,82,24.96
Naze,89.64,28.37,129.48,66,75,13.87
Erenhot,87.64,43.65,111.98,24,0,7.47
Jalpa,68.58,21.63,-102.97,60,0,0.81
Port Lincoln,54.63,-34.73,135.87,77,0,12.93
Khatanga,61.65,71.97,102.5,76,100,12.24
Vanimo,81.86,-2.67,141.3,75,1,6.08
Bredasdorp,50.0,-34.53,20.04,81,40,11.41
Kovdor,57.99,67.57,30.48,63,100,8.75
Malakal,85.73,9.53,31.66,62,0,5.77
Balkanabat,102.0,39.51,54.37,18,5,5.53
Bayevo,78.39,53.28,80.77,49,39,9.1
Am Timan,76.08,11.03,20.28,84,81,10.11
Ajdabiya,87.51,30.76,20.23,36,0,10.16
Namatanai,80.94,-3.67,152.43,76,100,5.73
Bethel,66.81,41.37,-73.41,82,1,3.36
Busselton,55.81,-33.65,115.33,52,0,12.26
Tura,85.75,25.52,90.22,74,56,8.55
Hamamatsu,77.4,34.7,137.73,93,100,5.99
Hambantota,93.2,6.12,81.12,59,40,13.87
Asău,61.0,46.43,26.4,63,30,4.34
Barrow,35.6,71.29,-156.79,80,90,10.29
Belyy Yar,71.6,53.6,91.39,68,40,11.18
Altamira,68.97,-3.2,-52.21,97,91,1.43
Carnarvon,75.2,-24.87,113.63,57,34,10.29
Lithakia,80.6,37.72,20.83,69,40,6.93
Bluff,48.34,-46.6,168.33,75,100,8.37
Highlands Ranch,66.34,39.55,-104.97,46,40,17.22
Sainte-Maxime,74.8,43.3,6.63,68,45,3.44
Banda Aceh,84.38,5.56,95.32,71,49,6.64
Port Hardy,52.12,50.7,-127.42,86,64,6.51
Mount Gambier,53.6,-37.83,140.77,71,21,6.93
Los Llanos de Aridane,69.8,28.66,-17.92,73,75,11.41
Pisco,59.43,-13.7,-76.22,93,90,1.12
Kiryat Gat,84.06,31.61,34.76,57,0,1.99
Luangwa,78.78,-15.62,30.42,41,0,1.95
Vila Franca do Campo,64.4,37.72,-25.43,88,20,8.05
Novy Urengoy,53.33,66.08,76.63,65,100,18.81
Iqaluit,50.0,63.75,-68.51,76,20,5.82
El Carmen,68.7,8.51,-73.45,86,96,3.13
Mwinilunga,72.73,-11.74,24.43,34,11,8.7
Chingirlau,98.22,51.09,54.08,20,10,11.92
Dicabisagan,87.26,17.08,122.42,68,55,13.71
Manakara,75.4,-22.13,48.02,67,0,1.68
Coquimbo,48.2,-29.95,-71.34,93,2,2.24
Road Town,82.13,18.42,-64.62,74,20,6.93
Castro,57.63,-24.79,-50.01,97,56,4.85
Bandarbeyla,88.95,9.49,50.81,45,100,26.44
Kamenka,88.0,51.32,42.77,39,100,1.99
Oistins,80.6,13.07,-59.53,78,20,13.87
Bintulu,84.09,3.17,113.03,79,40,9.17
Katsuura,78.03,35.13,140.3,71,100,7.0
Bambous Virieux,77.47,-20.34,57.76,69,40,8.05
Seydi,104.32,39.48,62.91,8,75,5.59
Pevek,43.88,69.7,170.31,73,0,2.15
Whitehorse,51.51,60.72,-135.05,58,75,10.29
Maryville,68.32,35.76,-83.97,82,1,3.36
Kavieng,83.08,-2.57,150.8,71,92,6.91
Pangnirtung,51.12,66.15,-65.71,55,1,4.7
Meulaboh,85.64,4.14,96.13,67,88,6.93
Burgeo,60.4,47.62,-57.62,91,79,4.94
North Bend,54.05,43.41,-124.22,93,1,11.41
Thinadhoo,85.44,0.53,72.93,64,1,5.01
Santa Cruz de la Sierra,68.0,-17.8,-63.17,88,75,11.41
Pilar,69.8,-9.6,-35.96,94,40,4.7
Semme,66.09,46.2,1.5,63,89,3.36
Burns Lake,44.28,54.23,-125.75,86,1,2.48
Sur,97.39,22.57,59.53,40,0,7.54
San Patricio,77.97,19.22,-104.7,82,100,2.95
Algeciras,78.8,36.13,-5.45,61,20,10.29
Nokaneng,63.81,-19.67,22.27,22,0,5.79
Shuangcheng,87.8,45.35,126.28,55,0,6.71
Talnakh,53.6,69.49,88.4,76,75,15.66
Beloha,73.45,-25.17,45.05,50,0,4.43
Huarmey,60.76,-10.07,-78.15,87,0,6.85
Hochstadt,74.01,49.25,8.21,47,92,1.83
Ushibukamachi,75.51,32.19,130.02,78,100,10.89
Puerto Colombia,80.6,10.99,-74.95,88,20,6.93
Jalu,84.54,29.03,21.55,35,0,10.16
Quatre Cocos,77.54,-20.21,57.76,69,40,8.05
Merritt Island,79.41,28.54,-80.67,76,0,5.99
Cuorgnè,69.51,45.39,7.65,60,75,4.7
Hong Kong,93.78,22.29,114.16,56,20,13.87
Chokurdakh,58.06,70.63,147.92,42,0,19.51
Shenjiamen,77.59,29.96,122.3,84,99,8.41
Garden City,63.86,42.33,-83.33,72,20,4.7
Verkhoyansk,71.46,67.54,133.38,46,6,17.92
Hasaki,77.16,35.73,140.83,83,75,6.93
Ponta do Sol,69.57,32.67,-17.1,77,4,3.76
Gorontalo,81.46,0.54,123.06,85,61,4.07
Vardø,46.4,70.37,31.11,81,75,11.41
Tiarei,75.09,-17.53,-149.33,94,75,6.93
Zhigansk,73.38,66.77,123.37,42,14,8.28
San Fernando,91.99,15.03,120.69,69,68,5.01
Sayyan,75.83,15.17,44.32,26,49,10.67
Novo Aripuanã,71.19,-5.12,-60.38,96,0,1.14
Buin,42.8,-33.73,-70.75,93,41,3.36
Hualmay,59.95,-11.1,-77.61,88,7,6.58
Kempsey,58.5,-31.08,152.83,82,40,18.34
Schwäbisch Hall,69.04,49.11,9.74,59,100,3.36
Villa Corona,66.38,20.42,-103.68,82,40,4.7
Dalby,53.01,-27.18,151.27,59,0,3.0
Cap Malheureux,78.01,-19.98,57.61,65,0,8.99
Khasan,68.49,42.43,130.64,76,0,7.7
Forsytheganj,64.11,52.63,29.73,64,22,13.71
Wundanyi,70.05,-3.4,38.36,50,3,9.62
Sitka,53.6,57.05,-135.33,93,90,6.93
Lincoln,73.35,40.8,-96.67,78,1,6.93
Nikolskoye,63.55,59.7,30.79,63,75,8.95
College,58.53,64.86,-147.8,72,75,3.36
Maumere,81.34,-8.62,122.21,62,0,5.3
Dunedin,46.45,-45.87,170.5,73,90,11.01
Chapais,60.8,49.78,-74.85,82,1,6.93
Najrān,96.8,17.49,44.13,19,2,9.17
Kumul,91.38,42.8,93.45,12,0,6.06
Constitución,50.85,-35.33,-72.42,76,20,6.6
Walvis Bay,50.85,-22.96,14.51,93,90,8.05
Águas Vermelhas,59.54,-15.75,-41.46,95,100,1.25
Batemans Bay,55.0,-35.72,150.18,75,84,4.0
Ambilobe,89.71,-13.2,49.05,29,62,2.08
Kaitangata,46.0,-46.28,169.85,77,97,5.01
San Francisco Ixhuatan,76.77,16.36,-94.48,91,100,6.17
Russell,74.07,32.35,-85.2,94,40,0.36
Marquard,37.53,-28.66,27.43,74,100,15.66
São Gabriel,35.02,-30.34,-54.32,84,0,4.23
Madison,70.68,34.73,-86.57,94,1,3.36
Yatou,76.17,37.15,122.38,57,22,4.94
Río Gallegos,32.0,-51.62,-69.22,94,90,5.82
South Lake Tahoe,58.08,38.93,-119.98,50,1,4.29
Houston,81.09,29.76,-95.36,83,20,6.93
Lüderitz,53.6,-26.65,15.16,66,0,16.11
Provideniya,46.06,64.38,-173.3,91,100,8.1
Coos Bay,53.98,43.37,-124.22,93,1,11.41
Sistranda,57.09,63.73,8.83,67,75,8.05
Chimbote,60.17,-9.09,-78.58,90,8,6.02
Manicoré,70.63,-5.81,-61.3,94,0,0.94
Bor,80.29,56.36,44.07,69,14,6.71
Xiongzhou,99.7,25.12,114.3,36,78,2.21
Ribeira Grande,68.0,38.52,-28.7,68,75,8.05
Pokhara,82.08,28.23,83.98,74,59,3.11
Kloulklubed,82.4,7.04,134.26,74,75,10.29
Jurm,84.2,36.86,70.83,22,23,9.28
Khuzhir,60.64,53.19,107.34,77,0,8.48
São Gabriel da Cachoeira,70.39,-0.13,-67.09,97,27,0.18
Wronki,69.91,52.71,16.38,46,9,4.7
Corinth,80.01,37.94,22.96,46,3,7.0
Bolu Province,64.26,40.67,31.58,73,79,4.81
Mar del Plata,37.81,-38.0,-57.56,69,20,9.17
Enshi,89.4,30.3,109.48,57,98,6.17
Airai,65.21,-8.93,125.41,77,72,5.17
Kalakamati,60.8,-20.59,27.31,23,0,4.7
Lyuban',64.42,52.8,28.0,60,0,10.29
Riyadh,105.8,24.69,46.72,12,13,2.24
Springdale,71.13,36.19,-94.13,83,1,6.06
Changuinola,74.59,9.43,-82.52,78,76,4.09
Xam Nua,84.81,20.42,104.04,51,91,2.84
Kawalu,81.64,-7.38,108.21,72,100,6.11
San Luis,41.22,-33.3,-66.34,68,1,7.78
Wanning,88.12,18.8,110.4,68,87,13.11
Nexø,62.6,55.06,15.13,88,0,3.36
Mthatha,55.4,-31.59,28.78,28,0,18.34
San Juan,36.54,-31.54,-68.54,79,0,1.5
Sabang,83.48,5.89,95.32,72,79,6.11
Inverness,56.57,57.48,-4.22,82,75,11.41
Cam Ranh,89.6,11.92,109.16,75,20,5.82
Warrnambool,51.01,-38.38,142.48,81,74,11.25
Yekaterinovka,86.31,52.05,44.35,43,84,16.42
Caravelas,67.1,-17.71,-39.25,94,100,3.49
Faanui,78.96,-16.48,-151.75,83,23,17.09
Machilipatnam,87.8,16.17,81.13,74,90,6.93
Rayong,91.0,12.83,101.43,70,100,1.52
Edd,96.67,13.93,41.69,36,1,6.2
Wuda,91.2,39.5,106.71,21,0,13.62
Paita,62.49,-5.09,-81.11,88,99,8.63
Belmonte,68.0,-15.86,-38.88,94,96,5.82
Jutaí,70.38,-5.18,-68.9,95,100,1.32
Saint-Louis,77.0,16.33,-15.0,88,51,2.24
Harwich,62.29,51.94,1.28,91,100,5.01
Itarema,73.45,-2.92,-39.92,88,2,11.79
Sibolga,85.48,1.74,98.78,62,100,5.26
Talgar,81.61,43.3,77.24,23,77,7.4
Rabaul,83.03,-4.2,152.17,77,100,6.42
Muros,66.0,42.78,-9.06,72,81,1.99
Kruisfontein,49.86,-34.0,24.73,70,99,29.59
Pudozh,70.92,61.81,36.53,53,35,1.88
Sungai Raya,76.98,0.7,108.9,91,100,10.67
Waipawa,40.06,-41.41,175.52,87,63,3.36
Awasa,67.64,7.05,38.47,74,96,6.17
Maniitsoq,42.98,65.42,-52.9,86,64,8.68
Lavrentiya,47.16,65.58,-171.0,73,100,9.91
Aitape,81.73,-3.14,142.35,77,96,5.95
Bengkulu,84.94,-3.8,102.27,69,100,8.72
Poronaysk,57.49,49.22,143.12,87,29,10.2
Tynda,82.33,55.17,124.72,46,77,7.7
Iquique,53.6,-20.22,-70.14,81,0,4.7
Yuli,74.14,9.7,10.27,90,100,3.65
Mandan,62.19,46.83,-100.89,72,1,8.05
Karratha,78.12,-20.74,116.85,35,0,11.45
Crotone,75.2,39.09,17.12,33,0,11.41
Salta,51.8,-24.79,-65.41,81,99,6.93
Ayan,60.84,56.45,138.17,74,30,17.52
Kununurra,80.6,-15.77,128.73,16,0,6.93
Rivière-du-Loup,52.74,47.83,-69.53,94,39,10.56
Muyezerskiy,60.98,63.93,31.65,70,47,5.88
Praia da Vitória,64.4,38.73,-27.07,93,20,7.9
Ouahigouya,80.47,13.58,-2.42,63,98,4.99
Rome,61.65,43.21,-75.46,93,75,2.62
Ishigaki,91.4,24.34,124.16,70,40,18.34
Lazo,75.51,43.38,133.9,60,26,3.53
Makaha,77.31,21.47,-158.22,73,75,11.52
Payson,72.57,40.04,-111.73,38,1,10.29
Japura,76.33,-0.32,102.35,87,100,3.67
Kidal,87.64,18.44,1.41,47,2,17.6
Broken Hill,59.0,-31.95,141.43,47,12,11.41
Nautla,78.93,20.22,-96.78,78,0,8.52
Avera,73.27,33.19,-82.53,77,1,3.36
Tuatapere,44.8,-46.13,167.68,82,99,3.49
Ubari,84.96,26.59,12.78,26,0,10.27
Jiwani,86.05,25.05,61.74,70,0,10.69
Camacupa,63.39,-12.02,17.48,30,4,6.85
Celestún,78.85,20.87,-90.4,79,0,10.8
Poum,73.78,-20.23,164.02,77,100,11.01
Lokachi,62.38,50.74,24.65,74,3,7.47
Nioro,80.35,13.35,-15.75,79,100,5.61
Teya,74.53,60.38,92.63,50,22,12.64
Huadian,84.61,42.96,126.75,38,1,10.11
Osa,85.64,57.28,55.46,54,0,6.26
San Cristobal,63.77,7.77,-72.22,87,14,4.07
Yenagoa,76.77,4.92,6.26,86,100,8.86
Pando,41.94,-34.72,-55.95,56,0,9.17
Gaozhou,94.68,21.94,110.85,47,3,4.5
Christchurch,37.18,-43.53,172.63,93,57,1.9
Vao,73.02,-22.67,167.48,83,100,18.41
Sawang Daen Din,88.25,17.48,103.46,59,100,3.13
Cairns,69.6,-16.92,145.77,49,69,10.29
Troitskoye,73.54,52.98,84.68,77,100,10.6
Qingquan,80.01,30.45,115.26,86,67,3.15
Faya,80.6,18.39,42.45,26,0,8.05
Sasykoli,88.16,47.55,47.0,40,100,10.42
Ağdam,86.07,39.99,46.93,41,93,7.34
Thohoyandou,74.89,-22.95,30.48,17,0,9.78
Raja,78.24,8.46,25.68,76,89,6.26
Okha,58.53,53.57,142.95,81,15,12.86
Izumo,73.4,35.37,132.77,83,75,25.28
Cabedelo,73.92,-6.98,-34.83,77,5,6.49
Narsaq,46.4,60.92,-46.05,87,100,4.7
Bonavista,62.01,48.65,-53.11,73,100,5.99
Marawi,84.0,8.0,124.29,79,78,5.01
Lompoc,54.93,34.64,-120.46,93,90,3.36
Batagay,62.96,67.63,134.63,63,60,15.35
Mossendjo,70.25,-2.95,12.73,80,97,2.84
Souillac,77.0,-20.52,57.52,69,40,8.05
Norman Wells,53.6,65.28,-126.83,93,40,1.07
Tabou,75.6,4.42,-7.35,84,100,12.41
Saskylakh,72.84,71.92,114.08,41,88,11.23
Disna,64.0,55.57,28.2,59,44,7.74
Trat,87.8,12.5,102.5,70,20,5.82
Hamilton,65.61,39.18,-84.53,93,1,3.27
Athabasca,54.0,54.72,-113.29,78,100,14.23
Udarnyy,82.36,54.34,42.86,61,27,9.15
Ureshinomachi-shimojuku,75.13,33.1,129.98,78,75,8.05
Puri,87.8,19.8,85.85,74,75,3.36
Pingliang,64.06,35.54,106.69,84,100,5.1
Nome,51.57,64.5,-165.41,76,90,17.22
Ossora,53.71,59.24,163.07,94,100,5.44
Saedinenie,71.46,42.27,24.55,49,20,9.17
Surgut,66.2,61.25,73.42,48,20,8.95
Beringovskiy,51.35,63.05,179.32,89,18,7.61
São Filipe,77.56,14.9,-24.5,84,96,1.88
La Ronge,55.4,55.1,-105.28,82,20,6.93
Totana,79.41,37.77,-1.5,69,20,1.12
Benguela,64.4,-12.58,13.41,93,76,2.17
Grand Gaube,78.01,-20.01,57.66,65,3,8.99
Berezniki,91.0,59.42,56.81,32,6,4.0
Atasū,83.21,48.68,71.64,31,0,17.87
Broome,58.55,42.25,-75.83,93,1,2.15
Saint-Augustin,49.46,51.23,-58.65,88,100,15.17
Sinnamary,76.15,5.38,-52.95,86,9,4.68
Changji,84.2,44.02,87.32,26,0,11.18
Arawa,78.89,-6.21,155.54,78,100,0.54
Luau,74.82,-10.71,22.22,29,26,6.53
Tūkrah,82.38,32.53,20.58,57,0,14.34
Laï,75.99,9.4,16.3,84,100,9.33
Bathsheba,80.6,13.22,-59.52,78,20,13.87
Los Baños,91.44,14.17,121.18,62,82,5.99
Catuday,83.21,16.29,119.81,68,100,4.09
Kieta,80.46,-6.22,155.63,75,100,2.73
Yinchuan,91.45,38.47,106.27,22,6,3.42
Sakharovo,62.11,56.9,36.05,75,100,8.9
Kirovskiy,76.87,45.09,133.51,78,0,6.51
Amazar,88.84,53.86,120.88,33,94,5.17
Clyde River,55.4,70.47,-68.59,54,90,11.41
Egvekinot,46.92,66.32,-179.17,83,100,3.38
Cabildo,31.86,-38.48,-61.9,85,3,9.33
Lambaré,53.6,-25.35,-57.61,71,0,10.29
Koster,46.54,-25.86,26.9,55,0,18.01
Mogadishu,80.6,2.04,45.34,69,75,19.46
Tacuarembó,32.09,-31.73,-55.98,90,0,5.5
Kikwit,85.08,-5.04,18.82,45,33,3.65
Rovaniemi,53.6,66.5,25.72,93,90,10.29
San Felipe,72.03,10.34,-68.74,92,43,1.54
Sosnovo-Ozerskoye,78.93,52.52,111.54,45,80,2.06
Maïné Soroa,88.66,13.21,12.02,45,41,14.67
Kānker,80.28,20.27,81.49,77,98,2.77
San Ramon,57.22,37.78,-121.98,82,1,6.93
Pangkalanbuun,82.17,-2.68,111.62,89,92,4.27
Shāhgarh,96.6,24.32,79.13,42,56,4.56
‘Ewa Beach,77.85,21.32,-158.01,65,1,4.7
Esna,95.0,25.29,32.55,32,0,2.24
Peleduy,88.3,59.63,112.74,31,12,5.3
Hammerfest,51.8,70.66,23.68,66,0,10.29
Châteauroux,64.4,46.82,1.7,55,95,4.7
Kahului,74.62,20.89,-156.47,61,40,11.41
Qaqortoq,46.4,60.72,-46.03,87,100,4.7
Yazykovo,83.53,55.22,56.14,65,19,7.11
Minot,55.2,48.23,-101.3,76,1,9.17
Kaduna,72.1,10.52,7.44,86,100,11.5
Requena,75.0,39.49,-1.1,63,70,7.27
Kushiro,62.6,42.98,144.37,82,75,10.29
Dalnegorsk,70.3,44.56,135.57,64,64,5.21
Vestmannaeyjar,50.0,63.44,-20.27,93,90,14.99
Yar-Sale,59.7,66.83,70.83,46,89,19.82
Antananarivo,64.4,-18.91,47.54,68,20,4.7
Fort Saint James,47.77,54.43,-124.25,70,18,3.85
Lebu,46.78,-37.62,-73.65,74,0,3.18
Rocky Mountain House,47.53,52.37,-114.92,67,68,6.93
Sola,80.2,-13.88,167.55,77,100,17.25
Vredendal,54.01,-31.67,18.5,62,2,12.55
Bolpur,93.99,23.67,87.72,78,84,11.83
Saint-Leu,74.86,-21.15,55.28,61,0,4.7
Guerrero Negro,68.94,27.98,-114.06,80,0,11.39
Bouna,71.96,9.27,-3.0,90,100,10.4
Bogo,87.73,11.05,124.01,62,100,4.41
Paka,86.0,4.64,103.44,79,40,5.82
Ibrā’,102.97,22.69,58.53,23,0,4.38
Aksarka,61.16,66.56,67.8,47,16,16.6
Kuzedeyevo,80.65,53.33,87.2,43,88,7.02
Yulara,68.0,-25.24,130.99,12,0,10.29
Plettenberg Bay,50.27,-34.05,23.37,74,100,18.59
Knysna,44.6,-34.04,23.05,87,40,20.8
Matamoros,82.0,25.53,-103.25,29,0,11.54
Tokat,75.2,40.42,36.58,57,20,2.24
Anloga,77.0,5.79,0.9,88,75,12.75
Leningradskiy,38.73,69.38,178.42,83,99,10.54
Kampong Thom,87.22,12.71,104.89,70,100,5.59
Rubizhne,71.35,49.01,38.38,71,80,10.67
Necochea,36.0,-38.55,-58.74,82,99,13.0
Fairbanks,58.33,64.84,-147.72,77,20,0.6
Afonso Bezerra,70.0,-5.5,-36.51,84,0,10.11
Coahuayana Viejo,76.35,18.73,-103.68,80,0,3.4
Esperance,57.2,-33.87,121.9,67,40,20.8
Gwadar,86.63,25.12,62.33,69,5,11.95
Guangzhou,98.15,23.12,113.25,37,40,6.71
São João do Piauí,69.89,-8.36,-42.25,68,51,4.97
Sharan,85.71,54.82,54.0,63,88,9.82
Si Bun Rueang,91.04,16.97,102.28,53,94,2.37
Chaman,96.73,30.92,66.45,13,0,13.18
Susanville,63.09,40.42,-120.65,32,1,6.93
Rock Sound,83.21,24.9,-76.2,71,99,9.82
Ahipara,55.44,-35.17,173.17,86,83,7.7
San Jerónimo,41.43,-11.95,-75.28,68,0,0.43
Lovozero,56.23,68.0,35.01,64,99,6.42
Dudinka,53.6,69.41,86.18,76,75,15.66
Farafangana,73.27,-22.82,47.83,75,25,1.59
Ostrołęka,64.11,53.09,21.58,63,20,4.7
Ostrovnoy,52.09,68.05,39.51,66,19,8.7
Belaya Gora,67.24,68.53,146.42,43,100,5.88
Salsomaggiore Terme,70.45,44.81,9.98,55,100,4.7
Husavik,50.0,66.04,-17.34,93,90,3.36
Kilindoni,77.54,-7.91,39.67,76,31,13.85
Garoowe,88.75,8.41,48.48,37,82,27.67
Ganzhou,90.48,28.82,115.43,69,87,3.76
Chihuahua,81.21,28.5,-106.0,20,0,7.11
Nemuro,60.8,43.32,145.57,82,75,6.93
Hofn,51.13,64.25,-15.21,80,100,6.73
Liverpool,56.73,53.41,-2.98,76,90,10.29
Ulaangom,57.85,49.98,92.07,82,100,11.7
Oriximiná,73.6,-1.77,-55.87,86,70,1.1
Anshun,78.39,26.25,105.93,76,68,17.09
Xai-Xai,68.83,-25.05,33.64,38,0,8.48
Goiatuba,63.81,-18.01,-49.35,47,0,6.22
Niterói,66.2,-22.88,-43.1,93,36,2.24
Coyhaique,30.2,-45.58,-72.07,92,100,3.36
Bilma,97.72,18.69,12.92,16,8,12.1
Boa Vista,77.0,2.82,-60.67,88,0,1.1
Nyurba,78.53,63.28,118.33,55,94,0.58
Schwarzenbek,69.01,53.5,10.48,53,100,5.39
Evensk,54.59,61.95,159.23,83,4,5.75
Havelock,73.06,34.88,-76.9,88,1,3.24
Mutsu,67.46,41.29,141.22,93,75,9.17
Puerto Carreño,74.17,6.19,-67.49,92,95,4.03
Ushtobe,85.96,45.25,77.98,22,0,19.77
Abong Mbang,72.43,3.98,13.18,84,100,4.61
Karaton,84.88,-6.34,106.1,62,75,16.11
Karasjok,48.2,69.47,25.51,81,90,5.82
Bonthe,76.37,7.53,-12.51,89,100,12.03
Vallenar,55.36,-28.57,-70.76,56,0,0.4
Santa Rosa,91.49,14.31,121.11,62,68,5.99
Nouadhibou,68.0,20.93,-17.03,94,75,13.87
Bajah,88.61,13.81,44.63,37,37,6.53
Eganville,61.21,45.53,-77.1,82,40,4.7
Ternate,82.0,0.8,127.4,76,100,5.55
Katherine,84.2,-14.47,132.27,11,0,6.93
