City,Country,Temperature (f),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Provideniya,RU,45.99,64.38,-173.3,94,99,4.99
Khatanga,RU,60.33,71.97,102.5,64,100,9.04
Laćarak,RS,82.0,45.0,19.57,31,37,3.0
Bambous Virieux,MU,74.62,-20.34,57.76,64,40,11.41
Bluff,NZ,39.0,-46.6,168.33,83,9,3.0
Jamestown,US,69.8,42.1,-79.24,82,1,6.93
Sri Aman,MY,78.4,1.24,111.46,94,17,0.38
Lüderitz,NA,84.2,-26.65,15.16,13,0,17.22
Puerto Ayora,EC,66.0,-0.74,-90.35,98,76,7.0
Kavieng,PG,81.36,-2.57,150.8,71,33,2.66
Lebu,CL,52.79,-37.62,-73.65,78,32,1.43
Suntar,RU,69.46,62.14,117.63,73,21,3.67
Nikolskoye,RU,63.1,59.7,30.79,45,20,8.95
Payo,ID,74.26,-3.75,103.64,95,100,2.39
Naryan-Mar,RU,52.05,67.67,53.09,68,100,13.4
Jalu,LY,100.13,29.03,21.55,14,0,13.67
Geraldton,AU,55.4,-28.77,114.6,87,30,10.29
Bereket,TM,96.89,39.24,55.52,31,5,20.4
Port Alfred,ZA,62.02,-33.59,26.89,36,28,3.67
San Cristobal,VE,78.8,7.77,-72.22,74,40,2.24
Okhotsk,RU,57.15,59.38,143.3,88,0,5.95
Vao,NC,69.67,-22.67,167.48,81,49,14.29
Mount Gambier,AU,42.8,-37.83,140.77,93,28,6.93
Lompoc,US,56.8,34.64,-120.46,87,81,4.7
Faanui,PF,77.72,-16.48,-151.75,83,31,14.41
Castro,BR,59.63,-24.79,-50.01,70,11,4.74
Oistins,BB,86.0,13.07,-59.53,66,40,10.29
Chokurdakh,RU,36.46,70.63,147.92,89,100,13.02
Tasiilaq,GL,44.6,65.61,-37.64,75,20,6.93
Katsuura,JP,66.06,35.13,140.3,100,75,13.87
Labuhan,ID,79.84,-6.88,112.21,78,52,6.76
Sistranda,NO,68.0,63.73,8.83,64,40,13.87
Hilo,US,70.2,19.73,-155.09,88,90,6.93
Iqaluit,CA,55.2,63.75,-68.51,71,20,6.93
Mar del Plata,AR,44.49,-38.0,-57.56,80,0,4.7
Butaritari,KI,82.53,3.07,172.79,75,99,10.0
La Ronge,CA,59.0,55.1,-105.28,77,90,14.99
Kaitangata,NZ,41.0,-46.28,169.85,92,58,1.01
Ahipara,NZ,58.01,-35.17,173.17,95,24,4.94
Chumikan,RU,63.63,54.72,135.31,93,100,4.54
George Town,MY,83.68,5.41,100.34,83,20,6.93
New Norfolk,AU,42.78,-42.78,147.06,83,100,0.89
Atuona,PF,79.02,-9.8,-139.03,78,4,19.57
Northam,GB,61.65,51.03,-4.22,78,77,5.99
Cherskiy,RU,40.3,68.75,161.3,81,100,7.49
Albany,US,70.92,42.6,-73.97,75,98,2.13
Lae,PG,76.6,-6.72,146.98,77,38,3.18
Kaeo,NZ,57.99,-35.1,173.78,3,30,1.59
Athabasca,CA,58.59,54.72,-113.29,82,79,11.59
Cabedelo,BR,80.6,-6.98,-34.83,78,75,9.17
Sørkjosen,NO,63.75,69.8,20.93,55,99,5.61
Esperance,AU,46.4,-33.87,121.9,81,0,6.93
Saint Paul Harbor,US,60.8,57.79,-152.41,55,1,11.41
Porto Belo,BR,60.03,-27.16,-48.55,77,40,8.05
Salalah,OM,82.4,17.02,54.09,88,90,10.29
Yellowknife,CA,53.22,62.46,-114.35,87,75,13.87
Ondjiva,AO,78.8,-17.07,15.73,12,0,6.93
Port Hardy,CA,57.2,50.7,-127.42,100,90,0.65
North Bend,US,51.64,43.41,-124.22,100,90,5.82
Katobu,ID,73.15,-4.94,122.53,92,13,3.71
Makhinjauri,GE,78.8,41.67,41.69,74,40,8.05
Kedgwick,CA,65.16,47.64,-67.34,43,0,9.04
Taoudenni,ML,115.56,22.68,-3.98,9,0,11.27
Ulfborg,DK,63.73,56.27,8.32,72,75,12.75
Flinders,AU,54.57,-34.58,150.86,62,88,5.99
Barrow,US,33.8,71.29,-156.79,86,90,10.29
Non Thai,TH,80.6,15.2,102.04,88,40,3.36
Menongue,AO,79.36,-14.66,17.69,14,0,12.17
Awjilah,LY,99.95,29.11,21.29,15,0,13.76
Tailai,CN,80.56,46.38,123.4,42,1,6.4
Bredasdorp,ZA,64.4,-34.53,20.04,39,2,5.82
Bethel,US,68.56,41.37,-73.41,82,90,3.36
Roald,NO,61.2,62.58,6.13,77,93,3.36
Magadan,RU,52.11,59.57,150.8,93,41,3.4
Meulaboh,ID,81.32,4.14,96.13,77,92,2.68
Aklavik,CA,51.8,68.22,-135.01,93,90,6.93
Vaini,TO,73.4,-21.2,-175.2,78,40,6.93
Lagan,RU,90.21,45.39,47.37,36,42,3.09
Stilfontein,ZA,57.67,-26.84,26.77,29,0,7.49
San Ramon,US,57.34,37.78,-121.98,87,90,3.36
Kruisfontein,ZA,55.87,-34.0,24.73,42,10,5.84
Srednekolymsk,RU,37.71,67.45,153.68,78,19,5.57
Grand Gaube,MU,73.99,-20.01,57.66,69,90,7.0
Saint-Pierre,RE,70.65,-21.34,55.48,73,37,8.05
Ostrovnoy,RU,56.21,68.05,39.51,62,0,8.46
Acapulco de Juárez,MX,78.8,16.86,-99.89,88,75,2.24
San Jose,US,56.48,37.34,-121.89,82,40,8.05
Avarua,CK,68.0,-21.21,-159.78,60,100,3.36
Kibala,TD,89.6,9.11,18.35,52,40,2.24
Touros,BR,75.2,-5.2,-35.46,88,75,11.41
Panabá,MX,81.52,21.28,-88.27,83,100,8.05
Taltal,CL,62.82,-25.4,-70.48,47,0,2.84
Zyryanka,RU,45.01,65.75,150.85,62,59,9.53
Micheweni,TZ,79.5,-4.97,39.83,68,10,13.69
Strezhevoy,RU,78.8,60.73,77.59,65,54,8.95
Porto Velho,BR,82.4,-8.76,-63.9,69,0,2.24
Lagoa,PT,68.95,39.05,-27.98,81,52,13.31
Kavaratti,IN,83.26,10.57,72.64,80,100,18.25
Benguela,AO,78.8,-12.58,13.41,61,0,9.17
Airai,TL,56.34,-8.93,125.41,100,37,4.03
Kyzyl-Suu,KG,63.77,42.34,78.0,43,99,0.72
Mehamn,NO,48.2,71.04,27.85,81,3,9.17
Garden City,US,77.67,42.33,-83.33,64,75,6.93
Tuatapere,NZ,39.0,-46.13,167.68,83,87,3.0
Nanortalik,GL,42.22,60.14,-45.24,88,95,4.74
Port Lincoln,AU,54.5,-34.73,135.87,85,3,9.71
Umluj,SA,90.5,25.02,37.27,47,0,13.51
Rawson,AR,40.93,-43.3,-65.1,64,16,9.8
Kalmunai,LK,86.0,7.42,81.82,67,75,17.18
Goderich,CA,75.34,43.75,-81.72,67,2,13.76
Bāntva,IN,81.07,21.49,70.07,85,100,4.32
Hong Kong,HK,85.23,22.29,114.16,66,100,11.99
Saint-Philippe,RE,69.62,-21.36,55.77,73,41,8.05
Vardø,NO,60.8,70.37,31.11,59,5,10.29
Kayes,ML,93.38,14.0,-11.0,45,0,11.63
Carnarvon,AU,66.2,-24.87,113.63,68,0,8.05
Longyearbyen,SJ,46.4,78.22,15.64,70,75,4.7
Poso,ID,76.91,-1.4,120.75,82,100,2.57
Upernavik,GL,42.94,72.79,-56.15,86,86,5.59
Shetpe,KZ,98.24,44.17,52.12,21,87,20.27
Muzhi,RU,63.66,65.37,64.67,89,90,11.27
Qaqortoq,GL,51.8,60.72,-46.03,71,75,4.7
Muroto-misakicho,JP,74.75,33.28,134.15,84,100,10.69
Yulara,AU,44.6,-25.24,130.99,33,0,5.82
Klyuchi,RU,72.88,52.27,79.17,51,0,13.31
Copperas Cove,US,77.52,31.12,-97.9,83,1,10.29
Guánica,PR,86.59,17.97,-66.91,41,0,4.63
Port Elizabeth,ZA,62.6,-33.92,25.57,42,19,2.24
Severo-Kuril'sk,RU,50.09,50.68,156.12,91,83,8.23
Denpasar,ID,78.8,-8.65,115.22,88,20,18.34
Mpanda,TZ,83.21,-6.37,31.04,30,100,6.42
Verkhnevilyuysk,RU,72.12,63.45,120.32,52,100,4.7
Champerico,GT,73.4,14.3,-91.92,83,40,3.96
‘Ewa Beach,US,73.58,21.32,-158.01,88,1,6.93
Broken Hill,AU,42.8,-31.95,141.43,60,0,2.04
Sabha,LY,99.77,27.04,14.43,13,0,8.95
Kieta,PG,78.58,-6.22,155.63,79,99,4.21
Giohar,SO,84.2,2.78,45.5,57,84,22.68
Hollins,US,77.2,37.34,-79.94,57,1,3.36
Ouégoa,NC,68.34,-20.35,164.43,81,25,8.05
Kumul,CN,86.43,42.8,93.45,14,24,13.85
Alyangula,AU,68.0,-13.85,136.42,72,0,12.97
Ābdānān,IR,99.64,32.99,47.42,8,0,18.57
Pimentel,PE,60.8,-6.84,-79.93,87,90,1.12
Severobaykal'sk,RU,61.25,55.65,109.32,79,37,5.06
La Sarre,CA,66.15,48.8,-79.2,73,98,9.93
Neepawa,CA,60.8,50.23,-99.47,67,75,16.11
Port Hedland,AU,60.8,-20.32,118.57,67,1,4.7
Abu Dhabi,AE,100.17,24.47,54.37,56,0,13.87
Mandera,KE,90.12,3.94,41.87,33,98,19.24
Bilma,NE,105.58,18.69,12.92,15,17,13.82
Newport,GB,63.57,51.59,-3.0,73,92,1.99
Pevek,RU,45.97,69.7,170.31,83,100,4.38
Healdsburg,US,54.88,38.61,-122.87,87,90,3.36
Russell,US,81.14,32.35,-85.2,83,1,2.04
Kimbe,PG,75.58,-5.55,150.14,88,79,4.0
Gladstone,AU,53.6,-23.85,151.25,54,0,4.7
Okha,RU,56.19,53.57,142.95,86,7,10.07
Maţāy,EG,103.57,28.42,30.78,11,0,13.11
Kirakira,SB,77.95,-10.45,161.92,84,100,8.16
Dandong,CN,66.63,40.13,124.39,93,6,3.09
Coffs Harbour,AU,54.0,-30.3,153.13,54,0,3.36
Pedernales,DO,86.0,18.04,-71.74,70,40,9.17
Praia,CV,82.4,14.92,-23.51,69,75,14.99
Gigmoto,PH,79.43,13.78,124.39,83,81,7.94
Kankan,GN,83.8,10.39,-9.31,67,21,7.99
Sibolga,ID,78.84,1.74,98.78,81,100,3.56
Severnyy,RU,69.8,50.68,36.55,46,75,15.66
Ambon City,ID,78.01,-3.7,128.18,15,61,13.94
São João da Barra,BR,77.83,-21.64,-41.05,88,90,11.41
Cidreira,BR,49.8,-30.18,-50.21,61,0,6.62
Zhanakorgan,KZ,94.8,43.91,67.25,17,0,20.2
Torbay,CA,49.35,47.67,-52.73,100,90,18.34
Leirvik,NO,64.15,59.78,5.5,72,40,8.05
Guiratinga,BR,86.43,-16.35,-53.76,31,0,8.55
Halifax,CA,61.86,44.65,-63.57,87,90,8.05
Morgan City,US,84.38,29.7,-91.21,83,20,5.95
Silver City,US,68.18,32.77,-108.28,49,1,5.82
San Quintín,MX,66.63,30.48,-115.95,86,56,10.74
Tura,IN,76.48,25.52,90.22,95,78,5.37
Sabalgarh,IN,95.52,26.25,77.4,45,27,11.25
Hammerfest,NO,60.8,70.66,23.68,63,68,6.93
Santa Maria,BR,41.0,-29.68,-53.81,80,20,5.82
Riyadh,SA,113.0,24.69,46.72,12,88,5.82
Kodīnar,IN,81.99,20.79,70.7,83,100,9.17
Tagusao,PH,82.06,9.19,117.81,75,15,3.33
Bandarawela,LK,78.8,6.83,80.99,100,40,9.17
Thompson,CA,59.0,55.74,-97.86,93,90,11.41
Rūdbār,AF,108.88,30.15,62.6,10,11,14.36
Ol'ga,RU,56.39,43.74,135.29,91,0,2.46
Saint-François,FR,67.95,46.42,3.91,72,94,6.93
Bariloche,AR,37.26,-41.15,-71.31,86,75,4.7
Yerbogachën,RU,58.5,61.28,108.01,92,100,5.01
Marabba,SD,87.69,12.35,32.18,50,92,12.75
Talnakh,RU,50.0,69.49,88.4,81,75,8.95
Oktyabr'skoye,RU,77.0,43.06,44.74,65,75,8.95
Severo-Yeniseyskiy,RU,50.52,60.37,93.04,75,59,6.02
Hailar,CN,67.24,49.2,119.7,86,99,7.0
Acajutla,SV,73.4,13.59,-89.83,88,70,3.13
Dem'yanovo,RU,72.63,60.35,47.08,92,59,9.51
Son La,VN,75.38,21.32,103.9,74,96,0.83
Comodoro Rivadavia,AR,33.8,-45.87,-67.5,74,75,1.12
Hofn,IS,51.8,64.25,-15.21,93,90,3.36
Cartagena del Chairá,CO,76.46,1.33,-74.84,84,39,1.92
Lethem,GY,84.47,3.38,-59.8,68,1,6.11
Vilhena,BR,80.6,-12.74,-60.15,54,1,6.93
Olafsvik,IS,50.25,64.89,-23.71,92,100,11.56
Tiksi,RU,37.18,71.69,128.87,81,0,9.78
Matara,LK,79.39,5.95,80.54,87,100,8.23
Grindavik,IS,53.6,63.84,-22.43,87,75,17.22
Fukuechō,JP,71.6,32.69,128.84,79,100,5.35
Mazara del Vallo,IT,81.32,37.66,12.59,74,20,13.87
Lukovetskiy,RU,60.8,64.3,41.92,67,20,8.95
Port Blair,IN,82.04,11.67,92.75,81,100,10.38
Ekibastuz,KZ,79.99,51.67,75.37,36,0,17.4
Nuuk,GL,41.0,64.18,-51.72,93,40,4.7
Lircay,PE,55.4,-12.99,-74.72,47,8,1.12
Hamilton,US,78.51,39.18,-84.53,78,1,4.45
Maracaçumé,BR,87.28,-2.04,-45.96,59,1,4.7
Tooele,US,62.47,40.53,-112.3,58,1,4.7
Michigan City,US,76.64,41.71,-86.89,88,1,8.05
Beisfjord,NO,62.01,68.38,17.6,48,75,8.05
Natá,PA,78.8,8.33,-80.52,76,0,3.36
Ancud,CL,42.58,-41.87,-73.82,100,90,5.82
Stavtrup,DK,62.35,56.13,10.12,82,35,9.17
Garoowe,SO,91.94,8.41,48.48,30,96,27.16
Abbeville,FR,66.0,50.1,1.83,73,100,12.97
Auki,SB,76.73,-8.77,160.7,89,100,5.32
São Filipe,CV,78.17,14.9,-24.5,78,38,11.12
Sisimiut,GL,49.96,66.94,-53.67,61,56,6.8
Krasnosel'kup,RU,59.45,65.7,82.47,72,96,10.8
Hatillo,PR,83.66,18.49,-66.83,74,7,4.0
Alice Springs,AU,42.8,-23.7,133.88,45,0,1.12
Alofi,NU,69.8,-19.06,-169.92,77,100,8.05
Måløy,NO,63.01,61.94,5.11,77,75,8.05
Plettenberg Bay,ZA,56.75,-34.05,23.37,41,0,2.26
Pangnirtung,CA,51.8,66.15,-65.71,76,75,13.87
Porto-Novo,BJ,80.6,6.5,2.6,78,40,16.11
Tonantins,BR,85.91,-2.87,-67.8,62,39,1.72
Lazarev,RU,54.28,52.23,141.51,95,36,22.57
Mama,RU,72.18,58.31,112.9,61,0,1.81
San Rafael,AR,49.15,-34.62,-68.33,48,0,1.5
Cabo San Lucas,MX,81.14,22.89,-109.91,61,5,18.34
Nouakchott,MR,80.6,18.09,-15.98,61,20,14.99
Dabola,GN,81.18,10.75,-11.12,71,98,6.82
Dudinka,RU,50.0,69.41,86.18,81,75,8.95
Kofelē,ET,57.42,7.07,38.78,93,100,5.01
Orán,AR,57.99,-23.13,-64.33,73,67,1.48
Husasău de Tinca,RO,77.0,46.82,21.92,44,68,9.17
Mizdah,LY,97.23,31.45,12.98,17,15,1.01
San Teodoro,PH,82.89,13.44,121.02,70,92,9.13
Opuwo,NA,77.41,-18.06,13.84,15,0,18.34
Bahía de Caráquez,EC,74.21,-0.6,-80.42,77,95,3.36
Warrnambool,AU,42.01,-38.38,142.48,93,0,6.17
Chernyshevskiy,RU,62.8,63.01,112.47,87,100,0.83
Santana do Livramento,BR,46.0,-30.89,-55.53,58,0,7.02
Songea,TZ,77.0,-10.68,35.65,38,20,6.93
Dicabisagan,PH,81.64,17.08,122.42,81,0,7.94
Sioux Lookout,CA,66.2,50.1,-91.92,59,20,16.11
Lixouri,GR,78.8,38.2,20.43,65,20,11.41
Inongo,CD,75.16,-1.95,18.27,72,17,0.83
Gweta,BW,72.86,-20.18,25.23,20,0,13.33
Shakawe,BW,74.8,-18.37,21.85,17,0,9.78
Uyuni,BO,43.41,-20.46,-66.83,50,0,11.43
Dingle,PH,76.62,11.0,122.67,90,100,10.71
Santa Isabel Rio Negro,BR,87.08,-0.41,-65.02,60,0,2.42
Taunggyi,MM,65.8,20.78,97.03,100,100,2.71
Ponta do Sol,PT,74.35,32.67,-17.1,57,20,21.92
Riberalta,BO,73.4,-10.98,-66.1,94,90,11.41
Djebeniana,TN,89.6,35.03,10.91,52,20,13.87
Hay River,CA,51.8,60.82,-115.8,87,40,10.29
Bongandanga,CD,83.16,1.5,21.05,67,13,2.06
Ullapool,GB,57.0,57.9,-5.16,89,100,3.0
Hede,CN,69.04,33.77,120.25,94,98,6.35
Ust-Kuyga,RU,44.33,70.02,135.6,61,0,17.27
Boysun,UZ,88.52,38.21,67.2,15,52,12.06
Waipawa,NZ,45.86,-41.41,175.52,57,100,13.87
Kalemie,CD,81.39,-5.95,29.19,42,77,11.9
Saint-Louis,SN,97.47,16.33,-15.0,21,0,8.66
Atambua,ID,70.16,-9.11,124.89,84,16,7.61
Ţahţā,EG,103.14,26.77,31.5,16,0,18.34
Eureka,US,52.38,40.8,-124.16,100,0,0.94
Serrinha,BR,79.41,-11.66,-39.01,58,42,8.52
Codrington,AU,42.1,-38.27,141.97,91,0,5.79
Batticaloa,LK,87.31,7.71,81.69,68,98,4.07
Benghazi,LY,82.58,32.12,20.07,54,0,16.87
Isla Mujeres,MX,86.0,21.23,-86.73,74,20,6.93
Bac Ninh,VN,87.8,21.18,106.05,70,86,11.41
Praia,CV,82.4,14.92,-23.51,69,75,14.99
Cayenne,GF,87.8,4.93,-52.33,66,75,5.82
Uporovo,RU,84.18,56.31,66.27,64,1,6.67
Richards Bay,ZA,63.01,-28.78,32.04,56,47,13.89
Khasan,RU,61.88,42.43,130.64,91,71,3.31
Wyndham,US,81.82,37.7,-77.61,74,20,2.37
Mahébourg,MU,75.2,-20.41,57.7,64,40,11.41
Bulgan,MN,59.94,48.81,103.53,82,96,6.17
Saurimo,AO,86.0,-9.66,20.39,23,4,8.05
Vila Franca do Campo,PT,71.6,37.72,-25.43,73,75,6.93
Chapais,CA,68.0,49.78,-74.85,52,1,16.11
Praia da Vitória,PT,73.4,38.73,-27.07,73,75,11.9
Okakarara,NA,69.17,-20.58,17.43,19,0,15.32
Manuk Mangkaw,PH,84.52,4.8,119.85,69,100,5.48
Altamirano,MX,62.4,16.88,-92.15,100,95,3.71
Rio Grande,BR,49.46,-32.03,-52.1,46,0,5.82
Atherton,GB,58.69,53.52,-2.49,83,100,10.0
Serenje,ZM,72.86,-13.23,30.24,21,0,10.49
Bāneh,IR,83.84,36.0,45.89,24,84,11.14
Ulety,RU,61.92,51.36,112.48,86,100,2.95
East London,ZA,62.6,-33.02,27.91,39,6,9.17
Harar,ET,67.8,9.31,42.13,75,100,9.22
Hervey Bay,AU,55.0,-25.3,152.85,54,0,5.01
Namatanai,PG,79.23,-3.67,152.43,76,7,3.04
Meadow Lake,US,70.97,34.8,-106.54,49,90,9.17
Husavik,IS,51.8,66.04,-17.34,87,90,6.93
Balad,IQ,112.44,34.02,44.15,8,0,20.4
Anshun,CN,68.86,26.25,105.93,92,100,9.15
Belaya Gora,RU,40.23,68.53,146.42,70,7,7.31
Buluang,PH,78.66,13.31,123.34,86,54,5.64
Tomatlán,MX,81.34,19.93,-105.25,76,3,2.55
Murici,BR,78.8,-9.31,-35.94,83,40,4.7
Saskylakh,RU,75.18,71.92,114.08,47,55,12.03
Tiznit Province,MA,96.75,29.58,-9.5,23,46,5.01
Katsina,NG,87.73,12.99,7.6,48,100,8.03
Dunedin,NZ,41.45,-45.87,170.5,92,95,5.7
Hirado,JP,71.01,33.36,129.55,91,89,2.26
Laas,IT,58.86,46.62,10.7,87,75,3.36
Tharād,IN,93.36,24.4,71.63,57,99,12.15
Oskarshamn,SE,75.2,57.26,16.45,50,61,10.29
Jeremoabo,BR,79.83,-10.07,-38.48,58,24,11.12
Edd,ER,96.12,13.93,41.69,43,56,15.01
Laguna,US,58.69,38.42,-121.42,87,1,4.59
Udimskiy,RU,59.88,61.14,45.91,93,99,9.91
Dongkan,CN,70.14,34.0,119.83,95,98,6.67
Isangel,VU,72.36,-19.55,169.27,85,1,2.93
Sungai Penuh,ID,66.63,-2.08,101.38,93,37,3.18
Shimoda,JP,66.0,34.67,138.95,96,100,1.01
Barhi,IN,84.2,23.9,80.8,76,100,6.85
Sembakung,ID,75.11,3.82,117.25,91,16,1.12
San Juan,AR,51.06,-31.54,-68.54,45,0,3.15
Nicoya,CR,80.6,10.15,-85.45,78,7,2.24
Kaputa,ZM,81.99,-8.47,29.66,33,100,3.78
Lorengau,PG,81.95,-2.02,147.27,68,93,5.7
Kiama,AU,54.48,-34.68,150.87,69,95,7.0
Nome,US,50.45,64.5,-165.41,87,90,8.05
Egvekinot,RU,45.16,66.32,-179.17,95,100,0.65
Umeå,SE,59.0,63.83,20.26,77,75,3.36
Faya,SA,88.7,18.39,42.45,10,40,5.82
Hambantota,LK,78.8,6.12,81.12,100,40,9.17
Jumla,NP,65.79,29.27,82.18,71,57,1.86
Port Said,EG,84.2,31.26,32.28,74,0,9.17
Samarai,PG,77.81,-10.62,150.67,90,56,12.88
Orchard Homes,US,49.75,46.86,-114.05,81,1,2.21
Ribeira Grande,PT,71.6,38.52,-28.7,73,75,18.34
Norman Wells,CA,55.4,65.28,-126.83,82,20,3.36
Pacific Grove,US,57.36,36.62,-121.92,87,90,3.36
Mount Isa,AU,53.6,-20.73,139.5,37,0,8.05
Catacaos,PE,67.39,-5.27,-80.68,74,99,6.42
Jiayuguan City,CN,80.15,39.82,98.3,27,95,7.99
Kenai,US,50.81,60.55,-151.26,76,1,4.7
Ponta Delgada,PT,71.6,37.73,-25.67,73,75,6.93
Paamiut,GL,42.33,61.99,-49.67,88,3,14.9
Mercedes,AR,47.75,-34.65,-59.43,48,0,1.99
Lumphat,KH,76.1,13.49,106.98,95,100,3.27
Soure,BR,83.53,-0.72,-48.52,69,0,7.67
Leh,IN,69.1,34.17,77.58,22,5,6.67
Vaitape,PF,78.53,-16.52,-151.75,82,29,14.7
Kathmandu,NP,75.2,27.72,85.32,83,75,6.93
Lakselv,NO,60.8,70.05,24.97,67,79,16.11
Andreapol',RU,51.04,56.65,32.27,95,100,14.45
Olinalá,MX,67.71,17.83,-98.85,89,8,0.96
Rocha,UY,48.33,-34.48,-54.33,55,0,4.25
Talara,PE,62.6,-4.58,-81.27,93,90,10.29
Lingao,CN,85.6,19.91,109.69,69,4,3.44
Tommot,RU,64.89,58.96,126.29,78,0,3.4
Végueta,PE,64.15,-11.02,-77.64,75,60,9.1
Muli,MV,84.76,2.92,73.57,73,100,9.8
Nanyamba,TZ,86.0,-10.68,39.83,45,20,18.34
Flagstaff,US,59.04,35.2,-111.65,58,1,4.7
Evensk,RU,51.21,61.95,159.23,95,100,4.81
Lavrentiya,RU,43.5,65.58,-171.0,95,100,1.05
Ojinaga,MX,81.84,29.57,-104.42,23,1,8.05
Camacha,PT,71.6,33.08,-16.33,68,75,18.34
Gwadar,PK,84.88,25.12,62.33,79,0,14.43
Macusani,PE,44.02,-14.08,-70.43,58,0,5.32
Tilichiki,RU,47.77,60.47,166.1,97,100,2.8
Province of Trapani,IT,82.36,37.83,12.67,74,20,13.87
Kiruna,SE,57.2,67.86,20.23,76,99,6.93
Shangrao,CN,80.91,28.45,117.97,83,31,0.92
Priiskovyy,RU,66.34,51.93,116.63,83,100,3.96
Ambulu,ID,74.95,-8.35,113.61,87,97,6.93
Atar,MR,106.14,20.52,-13.05,12,0,7.96
San Patricio,MX,78.8,19.22,-104.7,78,40,6.93
Teguise,ES,82.4,29.06,-13.56,61,20,23.04
Narsaq,GL,51.8,60.92,-46.05,71,75,4.7
Dukat,RU,50.05,62.55,155.55,92,100,4.21
Hasaki,JP,63.45,35.73,140.83,100,75,9.17
Yerraguntla,IN,78.6,14.64,78.54,79,100,16.13
Brufut,GM,87.8,13.38,-16.75,70,40,9.98
Karratha,AU,65.53,-20.74,116.85,66,0,4.18
Thinadhoo,MV,84.94,0.53,72.93,70,100,5.84
Port Hawkesbury,CA,57.74,45.62,-61.35,93,90,10.29
Bukama,CD,93.15,-9.2,25.85,14,30,8.43
Safi,MA,80.15,32.3,-9.24,62,0,24.25
Safaga,EG,102.2,26.73,33.94,22,0,13.87
Inuvik,CA,50.0,68.35,-133.72,87,75,5.82
Sinnamary,GF,83.3,5.38,-52.95,70,0,7.52
Assiut,EG,102.2,27.18,31.18,22,0,13.87
Balaipungut,ID,82.4,1.05,101.28,78,20,2.04
Byron Bay,AU,53.46,-28.65,153.62,66,0,6.93
Sakaiminato,JP,69.8,35.55,133.23,88,75,3.36
Kurduvādi,IN,73.94,18.08,75.43,89,100,11.74
Havre-St-Pierre,CA,60.8,50.23,-63.6,72,1,6.93
